Key,Category,QuestionNumber,matchOrnomatch,Difficulty,verdict,ResponseTime,routineStart,routineStamp,routineEnd,Cat2FeedbackTime
1spl1,1,spl1,match,Easy,INCORRECT,10.800266799982635,1676984654.0079188,"21/02/2023, 18:34:14",1676984664.8081856,
1spl2,1,spl2,nomatch,Easy,INCORRECT,4.553883499931544,1676984664.8897507,"21/02/2023, 18:34:24",1676984669.4436345,
1Item1,1,Item1,match,Easy,CORRECT,7.018957699998282,1676984669.4622722,"21/02/2023, 18:34:29",1676984676.4812298,
1Item2,1,Item2,match,Easy,CORRECT,12.819610300008208,1676984676.498954,"21/02/2023, 18:34:36",1676984689.3185644,
1Item3,1,Item3,match,Easy,CORRECT,17.734157099970616,1676984689.3361669,"21/02/2023, 18:34:49",1676984707.070324,
1Item4,1,Item4,match,Medium,CORRECT,28.353732399991717,1676984707.0870605,"21/02/2023, 18:35:07",1676984735.4407928,
1Item5,1,Item5,nomatch,Medium,CORRECT,36.48539029993117,1676984735.4574869,"21/02/2023, 18:35:35",1676984771.942877,
1Item6,1,Item6,match,Medium,CORRECT,27.52307060000021,1676984771.959428,"21/02/2023, 18:36:11",1676984799.4824986,
1Item7,1,Item7,match,Difficult,INCORRECT,12.663398199947553,1676984799.4997764,"21/02/2023, 18:36:39",1676984812.1631746,
1Item8,1,Item8,nomatch,Difficult,INCORRECT,26.706254600081596,1676984812.1843894,"21/02/2023, 18:36:52",1676984838.8906438,
1Item9,1,Item9,match,Difficult,CORRECT,32.83550519996788,1676984838.906125,"21/02/2023, 18:37:18",1676984871.7416303,
1Item10,1,Item10,nomatch,Difficult,CORRECT,6.476210299995728,1676984871.7576468,"21/02/2023, 18:37:51",1676984878.2338572,
2spl1,2,spl1,match,Easy,CORRECT,16.105887399986386,1676984952.0671475,"21/02/2023, 18:39:12",1676984968.173035,
2spl2,2,spl2,nomatch,Easy,INCORRECT,14.449039799976164,1676984969.9977677,"21/02/2023, 18:39:29",1676984984.4468074,
2Item1,2,Item1,match,Easy,CORRECT,17.623109499923885,1676984986.521046,"21/02/2023, 18:39:46",1676985004.1441555,1.914909700048156
2Item2,2,Item2,match,Easy,INCORRECT,14.62464630010072,1676985006.088297,"21/02/2023, 18:40:06",1676985020.712943,1.4828522000461817
2Item3,2,Item3,match,Easy,CORRECT,25.241566699929532,1676985022.225292,"21/02/2023, 18:40:22",1676985047.4668586,1.2622758999932555
2Item4,2,Item4,nomatch,Medium,CORRECT,10.21244009991642,1676985048.7678344,"21/02/2023, 18:40:48",1676985058.9802744,1.10481940000318
2Item5,2,Item5,match,Medium,INCORRECT,15.877383599989116,1676985060.113615,"21/02/2023, 18:41:00",1676985075.9909987,1.3272275000344962
2Item6,2,Item6,match,Medium,CORRECT,16.260320300003514,1676985077.3492105,"21/02/2023, 18:41:17",1676985093.6095307,1.1482547000050545
2Item7,2,Item7,match,Difficult,CORRECT,20.859496799996123,1676985094.7897077,"21/02/2023, 18:41:34",1676985115.6492045,1.3251993999583649
2Item8,2,Item8,nomatch,Difficult,INCORRECT,13.541462799999865,1676985117.0046911,"21/02/2023, 18:41:57",1676985130.546154,1.23476609995123
2Item9,2,Item9,nomatch,Difficult,CORRECT,29.5400369000854,1676985131.816083,"21/02/2023, 18:42:11",1676985161.35612,2.142083700047806
2Item10,2,Item10,match,Difficult,CORRECT,20.13911550003104,1676985163.532077,"21/02/2023, 18:42:43",1676985183.6711926,1.1277521000010893
3spl1,3,spl1,match,Easy,CORRECT,10.863249500049278,1676985258.6874704,"21/02/2023, 18:44:18",1676985269.55072,
3Item15,3,Item15,nomatch,Difficult,CORRECT,10.187834999989718,1676985270.7580256,"21/02/2023, 18:44:30",1676985280.9458606,
3Item2,3,Item2,match,Easy,CORRECT,18.79182809998747,1676985280.963716,"21/02/2023, 18:44:40",1676985299.7555442,
3Item5,3,Item5,match,Easy,CORRECT,14.518368900055066,1676985299.7713392,"21/02/2023, 18:44:59",1676985314.289708,
3Item12,3,Item12,match,Medium,CORRECT,15.427699699997902,1676985314.306563,"21/02/2023, 18:45:14",1676985329.7342627,
3Item6,3,Item6,match,Easy,INCORRECT,16.067476899945177,1676985329.7506645,"21/02/2023, 18:45:29",1676985345.8181417,
3Item8,3,Item8,nomatch,Medium,INCORRECT,18.051560499938205,1676985345.8343918,"21/02/2023, 18:45:45",1676985363.8859522,
3Item7,3,Item7,match,Medium,CORRECT,14.737640199949965,1676985363.9024422,"21/02/2023, 18:46:03",1676985378.6400824,
3Item9,3,Item9,,,,12.0,1676985378.6400824,"21/02/2023, 08:16:18",1676985390.6400824,
